season,holiday,workingday,weather,temp,humidity,windspeed,count,heure
1,0,0,1,9.84,81,0.0,16,0
1,0,0,1,9.02,80,0.0,40,1
1,0,0,1,9.02,80,0.0,32,2
1,0,0,1,9.84,75,0.0,13,3
1,0,0,1,9.84,75,0.0,1,4
1,0,0,2,9.84,75,6.0032,1,5
1,0,0,1,9.02,80,0.0,2,6
1,0,0,1,8.2,86,0.0,3,7
1,0,0,1,9.84,75,0.0,8,8
1,0,0,1,13.12,76,0.0,14,9
1,0,0,1,15.58,76,16.9979,36,10
1,0,0,1,14.76,81,19.0012,56,11
1,0,0,1,17.22,77,19.0012,84,12
1,0,0,2,18.86,72,19.9995,94,13
1,0,0,2,18.86,72,19.0012,106,14
1,0,0,2,18.04,77,19.9995,110,15
1,0,0,2,17.22,82,19.9995,93,16
1,0,0,2,18.04,82,19.0012,67,17
1,0,0,3,17.22,88,16.9979,35,18
1,0,0,3,17.22,88,16.9979,37,19
1,0,0,2,16.4,87,16.9979,36,20
1,0,0,2,16.4,87,12.998,34,21
1,0,0,2,16.4,94,15.0013,28,22
1,0,0,2,18.86,88,19.9995,39,23
1,0,0,2,18.86,88,19.9995,17,0
1,0,0,2,18.04,94,16.9979,17,1
1,0,0,2,17.22,100,19.0012,9,2
1,0,0,2,18.86,94,12.998,6,3
1,0,0,2,18.86,94,12.998,3,4
1,0,0,3,17.22,77,19.9995,2,6
1,0,0,2,16.4,76,12.998,1,7
1,0,0,3,16.4,71,15.0013,8,8
1,0,0,2,15.58,76,15.0013,20,9
1,0,0,2,14.76,81,15.0013,53,10
1,0,0,2,14.76,71,16.9979,70,11
1,0,0,2,14.76,66,19.9995,93,12
1,0,0,2,14.76,66,8.9981,75,13
1,0,0,3,14.76,76,12.998,59,14
1,0,0,3,13.94,81,11.0014,74,15
1,0,0,3,13.94,71,11.0014,76,16
1,0,0,1,13.94,57,12.998,65,17
1,0,0,2,14.76,46,22.0028,53,18
1,0,0,1,13.12,42,30.0026,30,19
1,0,0,1,12.3,39,23.9994,22,20
1,0,0,1,10.66,44,22.0028,31,21
1,0,0,1,9.84,44,19.9995,9,22
1,0,0,1,9.02,47,11.0014,8,23
1,0,1,1,9.02,44,23.9994,5,0
1,0,1,1,8.2,44,27.9993,2,1
1,0,1,1,6.56,47,26.0027,1,4
1,0,1,1,6.56,47,19.0012,3,5
1,0,1,1,5.74,50,26.0027,30,6
1,0,1,1,5.74,50,12.998,64,7
1,0,1,1,5.74,50,19.0012,154,8
1,0,1,1,6.56,43,26.0027,88,9
1,0,1,1,7.38,43,16.9979,44,10
1,0,1,1,8.2,40,22.0028,51,11
1,0,1,1,9.02,35,19.9995,61,12
1,0,1,1,9.84,35,19.0012,61,13
1,0,1,1,10.66,30,19.0012,77,14
1,0,1,1,10.66,30,16.9979,72,15
1,0,1,1,10.66,30,16.9979,76,16
1,0,1,1,9.84,30,15.0013,157,17
1,0,1,1,9.84,32,7.0015,157,18
1,0,1,1,8.2,47,0.0,110,19
1,0,1,1,8.2,47,7.0015,52,20
1,0,1,1,7.38,64,8.9981,52,21
1,0,1,1,5.74,69,8.9981,20,22
1,0,1,1,7.38,55,7.0015,12,23
1,0,1,1,6.56,55,7.0015,5,0
1,0,1,1,6.56,59,7.0015,2,1
1,0,1,1,5.74,63,8.9981,1,2
1,0,1,1,5.74,63,6.0032,2,4
1,0,1,1,4.92,68,7.0015,4,5
1,0,1,1,4.92,74,7.0015,36,6
1,0,1,1,4.92,74,8.9981,94,7
1,0,1,1,5.74,69,11.0014,179,8
1,0,1,1,6.56,64,15.0013,100,9
1,0,1,2,6.56,69,22.0028,42,10
1,0,1,1,9.02,51,19.9995,57,11
1,0,1,1,9.02,51,11.0014,78,12
1,0,1,1,9.84,56,12.998,97,13
1,0,1,1,10.66,52,15.0013,63,14
1,0,1,1,11.48,52,16.9979,65,15
1,0,1,1,12.3,49,16.9979,83,16
1,0,1,1,11.48,48,15.0013,212,17
1,0,1,1,10.66,48,12.998,182,18
1,0,1,1,9.84,48,7.0015,112,19
1,0,1,1,9.84,48,7.0015,54,20
1,0,1,1,9.02,64,0.0,48,21
1,0,1,1,9.02,64,6.0032,35,22
1,0,1,1,8.2,69,6.0032,11,23
1,0,1,1,8.2,64,0.0,6,0
1,0,1,1,6.56,74,6.0032,6,1
1,0,1,1,6.56,74,6.0032,2,2
1,0,1,1,9.84,48,15.0013,2,4
1,0,1,1,9.02,47,11.0014,3,5
1,0,1,1,8.2,47,15.0013,33,6
1,0,1,1,7.38,43,12.998,88,7
1,0,1,1,8.2,40,19.9995,195,8
1,0,1,1,9.02,37,22.0028,115,9
