datetime,season,holiday,workingday,weather,temp,humidity,windspeed,count,heure,month,year
2011-01-01 00:00:00,1,0,0,1,9.84,81,0.0,16,0,1,2011
2011-01-01 01:00:00,1,0,0,1,9.02,80,0.0,40,1,1,2011
2011-01-01 02:00:00,1,0,0,1,9.02,80,0.0,32,2,1,2011
2011-01-01 03:00:00,1,0,0,1,9.84,75,0.0,13,3,1,2011
2011-01-01 04:00:00,1,0,0,1,9.84,75,0.0,1,4,1,2011
2011-01-01 05:00:00,1,0,0,2,9.84,75,6.0032,1,5,1,2011
2011-01-01 06:00:00,1,0,0,1,9.02,80,0.0,2,6,1,2011
2011-01-01 07:00:00,1,0,0,1,8.2,86,0.0,3,7,1,2011
2011-01-01 08:00:00,1,0,0,1,9.84,75,0.0,8,8,1,2011
2011-01-01 09:00:00,1,0,0,1,13.12,76,0.0,14,9,1,2011
2011-01-01 10:00:00,1,0,0,1,15.58,76,16.9979,36,10,1,2011
2011-01-01 11:00:00,1,0,0,1,14.76,81,19.0012,56,11,1,2011
2011-01-01 12:00:00,1,0,0,1,17.22,77,19.0012,84,12,1,2011
2011-01-01 13:00:00,1,0,0,2,18.86,72,19.9995,94,13,1,2011
2011-01-01 14:00:00,1,0,0,2,18.86,72,19.0012,106,14,1,2011
2011-01-01 15:00:00,1,0,0,2,18.04,77,19.9995,110,15,1,2011
2011-01-01 16:00:00,1,0,0,2,17.22,82,19.9995,93,16,1,2011
2011-01-01 17:00:00,1,0,0,2,18.04,82,19.0012,67,17,1,2011
2011-01-01 18:00:00,1,0,0,3,17.22,88,16.9979,35,18,1,2011
2011-01-01 19:00:00,1,0,0,3,17.22,88,16.9979,37,19,1,2011
2011-01-01 20:00:00,1,0,0,2,16.4,87,16.9979,36,20,1,2011
2011-01-01 21:00:00,1,0,0,2,16.4,87,12.998,34,21,1,2011
2011-01-01 22:00:00,1,0,0,2,16.4,94,15.0013,28,22,1,2011
2011-01-01 23:00:00,1,0,0,2,18.86,88,19.9995,39,23,1,2011
2011-01-02 00:00:00,1,0,0,2,18.86,88,19.9995,17,0,1,2011
2011-01-02 01:00:00,1,0,0,2,18.04,94,16.9979,17,1,1,2011
2011-01-02 02:00:00,1,0,0,2,17.22,100,19.0012,9,2,1,2011
2011-01-02 03:00:00,1,0,0,2,18.86,94,12.998,6,3,1,2011
2011-01-02 04:00:00,1,0,0,2,18.86,94,12.998,3,4,1,2011
2011-01-02 06:00:00,1,0,0,3,17.22,77,19.9995,2,6,1,2011
2011-01-02 07:00:00,1,0,0,2,16.4,76,12.998,1,7,1,2011
2011-01-02 08:00:00,1,0,0,3,16.4,71,15.0013,8,8,1,2011
2011-01-02 09:00:00,1,0,0,2,15.58,76,15.0013,20,9,1,2011
2011-01-02 10:00:00,1,0,0,2,14.76,81,15.0013,53,10,1,2011
2011-01-02 11:00:00,1,0,0,2,14.76,71,16.9979,70,11,1,2011
2011-01-02 12:00:00,1,0,0,2,14.76,66,19.9995,93,12,1,2011
2011-01-02 13:00:00,1,0,0,2,14.76,66,8.9981,75,13,1,2011
2011-01-02 14:00:00,1,0,0,3,14.76,76,12.998,59,14,1,2011
2011-01-02 15:00:00,1,0,0,3,13.94,81,11.0014,74,15,1,2011
2011-01-02 16:00:00,1,0,0,3,13.94,71,11.0014,76,16,1,2011
2011-01-02 17:00:00,1,0,0,1,13.94,57,12.998,65,17,1,2011
2011-01-02 18:00:00,1,0,0,2,14.76,46,22.0028,53,18,1,2011
2011-01-02 19:00:00,1,0,0,1,13.12,42,30.0026,30,19,1,2011
2011-01-02 20:00:00,1,0,0,1,12.3,39,23.9994,22,20,1,2011
2011-01-02 21:00:00,1,0,0,1,10.66,44,22.0028,31,21,1,2011
2011-01-02 22:00:00,1,0,0,1,9.84,44,19.9995,9,22,1,2011
2011-01-02 23:00:00,1,0,0,1,9.02,47,11.0014,8,23,1,2011
2011-01-03 00:00:00,1,0,1,1,9.02,44,23.9994,5,0,1,2011
2011-01-03 01:00:00,1,0,1,1,8.2,44,27.9993,2,1,1,2011
2011-01-03 04:00:00,1,0,1,1,6.56,47,26.0027,1,4,1,2011
2011-01-03 05:00:00,1,0,1,1,6.56,47,19.0012,3,5,1,2011
2011-01-03 06:00:00,1,0,1,1,5.74,50,26.0027,30,6,1,2011
2011-01-03 07:00:00,1,0,1,1,5.74,50,12.998,64,7,1,2011
2011-01-03 08:00:00,1,0,1,1,5.74,50,19.0012,154,8,1,2011
2011-01-03 09:00:00,1,0,1,1,6.56,43,26.0027,88,9,1,2011
2011-01-03 10:00:00,1,0,1,1,7.38,43,16.9979,44,10,1,2011
2011-01-03 11:00:00,1,0,1,1,8.2,40,22.0028,51,11,1,2011
2011-01-03 12:00:00,1,0,1,1,9.02,35,19.9995,61,12,1,2011
2011-01-03 13:00:00,1,0,1,1,9.84,35,19.0012,61,13,1,2011
2011-01-03 14:00:00,1,0,1,1,10.66,30,19.0012,77,14,1,2011
2011-01-03 15:00:00,1,0,1,1,10.66,30,16.9979,72,15,1,2011
2011-01-03 16:00:00,1,0,1,1,10.66,30,16.9979,76,16,1,2011
2011-01-03 17:00:00,1,0,1,1,9.84,30,15.0013,157,17,1,2011
2011-01-03 18:00:00,1,0,1,1,9.84,32,7.0015,157,18,1,2011
2011-01-03 19:00:00,1,0,1,1,8.2,47,0.0,110,19,1,2011
2011-01-03 20:00:00,1,0,1,1,8.2,47,7.0015,52,20,1,2011
2011-01-03 21:00:00,1,0,1,1,7.38,64,8.9981,52,21,1,2011
2011-01-03 22:00:00,1,0,1,1,5.74,69,8.9981,20,22,1,2011
2011-01-03 23:00:00,1,0,1,1,7.38,55,7.0015,12,23,1,2011
2011-01-04 00:00:00,1,0,1,1,6.56,55,7.0015,5,0,1,2011
2011-01-04 01:00:00,1,0,1,1,6.56,59,7.0015,2,1,1,2011
2011-01-04 02:00:00,1,0,1,1,5.74,63,8.9981,1,2,1,2011
2011-01-04 04:00:00,1,0,1,1,5.74,63,6.0032,2,4,1,2011
2011-01-04 05:00:00,1,0,1,1,4.92,68,7.0015,4,5,1,2011
2011-01-04 06:00:00,1,0,1,1,4.92,74,7.0015,36,6,1,2011
2011-01-04 07:00:00,1,0,1,1,4.92,74,8.9981,94,7,1,2011
2011-01-04 08:00:00,1,0,1,1,5.74,69,11.0014,179,8,1,2011
2011-01-04 09:00:00,1,0,1,1,6.56,64,15.0013,100,9,1,2011
2011-01-04 10:00:00,1,0,1,2,6.56,69,22.0028,42,10,1,2011
2011-01-04 11:00:00,1,0,1,1,9.02,51,19.9995,57,11,1,2011
2011-01-04 12:00:00,1,0,1,1,9.02,51,11.0014,78,12,1,2011
2011-01-04 13:00:00,1,0,1,1,9.84,56,12.998,97,13,1,2011
2011-01-04 14:00:00,1,0,1,1,10.66,52,15.0013,63,14,1,2011
2011-01-04 15:00:00,1,0,1,1,11.48,52,16.9979,65,15,1,2011
2011-01-04 16:00:00,1,0,1,1,12.3,49,16.9979,83,16,1,2011
2011-01-04 17:00:00,1,0,1,1,11.48,48,15.0013,212,17,1,2011
2011-01-04 18:00:00,1,0,1,1,10.66,48,12.998,182,18,1,2011
2011-01-04 19:00:00,1,0,1,1,9.84,48,7.0015,112,19,1,2011
2011-01-04 20:00:00,1,0,1,1,9.84,48,7.0015,54,20,1,2011
2011-01-04 21:00:00,1,0,1,1,9.02,64,0.0,48,21,1,2011
2011-01-04 22:00:00,1,0,1,1,9.02,64,6.0032,35,22,1,2011
2011-01-04 23:00:00,1,0,1,1,8.2,69,6.0032,11,23,1,2011
2011-01-05 00:00:00,1,0,1,1,8.2,64,0.0,6,0,1,2011
2011-01-05 01:00:00,1,0,1,1,6.56,74,6.0032,6,1,1,2011
2011-01-05 02:00:00,1,0,1,1,6.56,74,6.0032,2,2,1,2011
2011-01-05 04:00:00,1,0,1,1,9.84,48,15.0013,2,4,1,2011
2011-01-05 05:00:00,1,0,1,1,9.02,47,11.0014,3,5,1,2011
2011-01-05 06:00:00,1,0,1,1,8.2,47,15.0013,33,6,1,2011
2011-01-05 07:00:00,1,0,1,1,7.38,43,12.998,88,7,1,2011
2011-01-05 08:00:00,1,0,1,1,8.2,40,19.9995,195,8,1,2011
2011-01-05 09:00:00,1,0,1,1,9.02,37,22.0028,115,9,1,2011
2011-01-05 10:00:00,1,0,1,1,9.02,37,22.0028,57,10,1,2011
2011-01-05 11:00:00,1,0,1,1,10.66,33,22.0028,46,11,1,2011
2011-01-05 12:00:00,1,0,1,1,10.66,33,22.0028,79,12,1,2011
2011-01-05 13:00:00,1,0,1,1,11.48,30,19.9995,71,13,1,2011
2011-01-05 14:00:00,1,0,1,1,12.3,28,12.998,62,14,1,2011
2011-01-05 15:00:00,1,0,1,1,12.3,28,12.998,62,15,1,2011
2011-01-05 16:00:00,1,0,1,1,12.3,28,6.0032,89,16,1,2011
2011-01-05 17:00:00,1,0,1,1,9.84,38,12.998,190,17,1,2011
2011-01-05 18:00:00,1,0,1,1,9.84,38,8.9981,169,18,1,2011
2011-01-05 19:00:00,1,0,1,1,9.84,38,7.0015,132,19,1,2011
2011-01-05 20:00:00,1,0,1,1,9.02,47,11.0014,89,20,1,2011
2011-01-05 21:00:00,1,0,1,1,8.2,51,12.998,43,21,1,2011
2011-01-05 22:00:00,1,0,1,1,7.38,55,8.9981,42,22,1,2011
2011-01-05 23:00:00,1,0,1,1,8.2,47,0.0,19,23,1,2011
2011-01-06 00:00:00,1,0,1,1,7.38,55,0.0,11,0,1,2011
2011-01-06 01:00:00,1,0,1,1,6.56,64,0.0,4,1,1,2011
2011-01-06 02:00:00,1,0,1,1,6.56,64,0.0,2,2,1,2011
2011-01-06 04:00:00,1,0,1,2,6.56,64,6.0032,1,4,1,2011
2011-01-06 05:00:00,1,0,1,2,5.74,69,6.0032,4,5,1,2011
2011-01-06 06:00:00,1,0,1,2,5.74,63,7.0015,36,6,1,2011
2011-01-06 07:00:00,1,0,1,2,6.56,59,0.0,95,7,1,2011
2011-01-06 08:00:00,1,0,1,1,6.56,59,0.0,219,8,1,2011
2011-01-06 09:00:00,1,0,1,2,7.38,51,0.0,122,9,1,2011
2011-01-06 10:00:00,1,0,1,1,8.2,47,0.0,45,10,1,2011
2011-01-06 11:00:00,1,0,1,1,9.02,44,6.0032,59,11,1,2011
2011-01-06 12:00:00,1,0,1,1,10.66,35,0.0,84,12,1,2011
2011-01-06 13:00:00,1,0,1,1,10.66,35,7.0015,67,13,1,2011
2011-01-06 14:00:00,1,0,1,1,11.48,36,11.0014,70,14,1,2011
2011-01-06 15:00:00,1,0,1,1,11.48,36,0.0,62,15,1,2011
2011-01-06 16:00:00,1,0,1,1,10.66,38,11.0014,86,16,1,2011
2011-01-06 17:00:00,1,0,1,1,9.02,51,11.0014,172,17,1,2011
2011-01-06 18:00:00,1,0,1,1,9.02,51,8.9981,163,18,1,2011
2011-01-06 19:00:00,1,0,1,1,9.02,55,6.0032,112,19,1,2011
2011-01-06 20:00:00,1,0,1,1,8.2,51,11.0014,69,20,1,2011
2011-01-06 21:00:00,1,0,1,2,9.02,55,15.0013,48,21,1,2011
2011-01-06 22:00:00,1,0,1,2,9.02,51,19.0012,52,22,1,2011
2011-01-06 23:00:00,1,0,1,2,8.2,59,12.998,23,23,1,2011
2011-01-07 00:00:00,1,0,1,2,8.2,64,12.998,17,0,1,2011
2011-01-07 01:00:00,1,0,1,2,8.2,69,15.0013,7,1,1,2011
2011-01-07 02:00:00,1,0,1,2,8.2,69,15.0013,1,2,1,2011
2011-01-07 04:00:00,1,0,1,2,8.2,69,8.9981,1,4,1,2011
2011-01-07 05:00:00,1,0,1,3,9.02,55,0.0,5,5,1,2011
2011-01-07 06:00:00,1,0,1,2,8.2,69,0.0,34,6,1,2011
2011-01-07 07:00:00,1,0,1,1,8.2,69,8.9981,84,7,1,2011
2011-01-07 08:00:00,1,0,1,1,8.2,51,16.9979,210,8,1,2011
2011-01-07 09:00:00,1,0,1,1,8.2,47,19.9995,134,9,1,2011
2011-01-07 10:00:00,1,0,1,1,9.02,37,22.0028,63,10,1,2011
2011-01-07 11:00:00,1,0,1,2,8.2,40,15.0013,67,11,1,2011
2011-01-07 12:00:00,1,0,1,2,8.2,37,16.9979,59,12,1,2011
2011-01-07 13:00:00,1,0,1,2,8.2,37,19.0012,73,13,1,2011
2011-01-07 14:00:00,1,0,1,2,8.2,40,16.9979,50,14,1,2011
2011-01-07 15:00:00,1,0,1,2,8.2,37,11.0014,72,15,1,2011
2011-01-07 16:00:00,1,0,1,2,8.2,37,11.0014,87,16,1,2011
2011-01-07 17:00:00,1,0,1,2,8.2,37,0.0,187,17,1,2011
2011-01-07 18:00:00,1,0,1,1,8.2,40,6.0032,123,18,1,2011
2011-01-07 19:00:00,1,0,1,1,6.56,55,6.0032,95,19,1,2011
2011-01-07 20:00:00,1,0,1,1,7.38,47,7.0015,51,20,1,2011
2011-01-07 21:00:00,1,0,1,1,7.38,47,8.9981,39,21,1,2011
2011-01-07 22:00:00,1,0,1,2,7.38,43,11.0014,36,22,1,2011
2011-01-07 23:00:00,1,0,1,2,7.38,51,11.0014,15,23,1,2011
2011-01-08 00:00:00,1,0,0,2,7.38,51,11.0014,25,0,1,2011
2011-01-08 01:00:00,1,0,0,2,7.38,55,6.0032,16,1,1,2011
2011-01-08 02:00:00,1,0,0,2,7.38,55,0.0,16,2,1,2011
2011-01-08 03:00:00,1,0,0,3,7.38,55,11.0014,7,3,1,2011
2011-01-08 04:00:00,1,0,0,3,7.38,55,11.0014,1,4,1,2011
2011-01-08 05:00:00,1,0,0,2,6.56,74,11.0014,5,5,1,2011
2011-01-08 06:00:00,1,0,0,2,6.56,74,11.0014,2,6,1,2011
2011-01-08 07:00:00,1,0,0,2,6.56,74,7.0015,9,7,1,2011
2011-01-08 08:00:00,1,0,0,3,6.56,93,7.0015,15,8,1,2011
2011-01-08 09:00:00,1,0,0,3,6.56,93,7.0015,20,9,1,2011
2011-01-08 10:00:00,1,0,0,2,7.38,80,11.0014,61,10,1,2011
2011-01-08 11:00:00,1,0,0,2,8.2,69,26.0027,62,11,1,2011
2011-01-08 12:00:00,1,0,0,2,8.2,59,23.9994,98,12,1,2011
2011-01-08 13:00:00,1,0,0,1,8.2,44,22.0028,102,13,1,2011
2011-01-08 14:00:00,1,0,0,1,8.2,32,32.9975,95,14,1,2011
2011-01-08 15:00:00,1,0,0,1,8.2,32,30.0026,74,15,1,2011
2011-01-08 16:00:00,1,0,0,1,7.38,29,30.0026,76,16,1,2011
2011-01-08 17:00:00,1,0,0,1,6.56,37,36.9974,69,17,1,2011
2011-01-08 18:00:00,1,0,0,1,5.74,39,19.9995,55,18,1,2011
2011-01-08 19:00:00,1,0,0,1,5.74,36,16.9979,30,19,1,2011
2011-01-08 20:00:00,1,0,0,1,4.92,36,16.9979,28,20,1,2011
2011-01-08 21:00:00,1,0,0,1,4.92,39,23.9994,37,21,1,2011
2011-01-08 22:00:00,1,0,0,1,4.92,36,26.0027,34,22,1,2011
2011-01-08 23:00:00,1,0,0,1,4.1,39,30.0026,22,23,1,2011
2011-01-09 00:00:00,1,0,0,1,4.1,42,26.0027,25,0,1,2011
2011-01-09 01:00:00,1,0,0,1,4.1,42,31.0009,12,1,1,2011
2011-01-09 02:00:00,1,0,0,1,4.1,46,31.0009,11,2,1,2011
2011-01-09 03:00:00,1,0,0,1,4.1,46,27.9993,4,3,1,2011
2011-01-09 04:00:00,1,0,0,1,3.28,53,12.998,1,4,1,2011
2011-01-09 05:00:00,1,0,0,1,3.28,53,12.998,1,5,1,2011
2011-01-09 06:00:00,1,0,0,1,4.1,49,19.0012,1,6,1,2011
2011-01-09 07:00:00,1,0,0,1,3.28,53,12.998,6,7,1,2011
2011-01-09 08:00:00,1,0,0,1,4.1,49,19.0012,10,8,1,2011
2011-01-09 09:00:00,1,0,0,1,4.92,46,35.0008,19,9,1,2011
2011-01-09 10:00:00,1,0,0,1,5.74,43,26.0027,49,10,1,2011
2011-01-09 11:00:00,1,0,0,1,6.56,40,35.0008,49,11,1,2011
2011-01-09 12:00:00,1,0,0,1,7.38,37,30.0026,83,12,1,2011
2011-01-09 13:00:00,1,0,0,1,8.2,34,30.0026,75,13,1,2011
2011-01-09 14:00:00,1,0,0,1,9.02,32,31.0009,72,14,1,2011
2011-01-09 15:00:00,1,0,0,1,9.02,35,23.9994,82,15,1,2011
2011-01-09 16:00:00,1,0,0,1,8.2,34,30.0026,92,16,1,2011
2011-01-09 17:00:00,1,0,0,1,7.38,37,26.0027,62,17,1,2011
2011-01-09 18:00:00,1,0,0,1,6.56,40,22.0028,48,18,1,2011
2011-01-09 19:00:00,1,0,0,1,6.56,43,22.0028,41,19,1,2011
2011-01-09 20:00:00,1,0,0,1,5.74,46,16.9979,38,20,1,2011
2011-01-09 21:00:00,1,0,0,1,5.74,46,27.9993,20,21,1,2011
